12;14;18;20;23
0,3777;0,4438;0,1916;0,2072;0,2598
0,5727;0,6191;0,2153;0,2004;0,2685
0,611;0,3577;0,1846;0,1781;0,2025
0,5363;0,5125;0,2137;0,2213;0,2641
0,5013;0,2621;0,2252;0,2119;0,212
0,5056;0,6044;0,1672;0,2356;0,2111
0,3973;0,3717;0,1127;0,2478;0,195
0,343;0,5253;0,196;0,2124;0,2051
0,6559;0,3099;0,1968;0,3294;0,2463
0,2913;0,6312;0,2951;0,2443;0,2346
0,4714;0,4931;0,1177;0,2245;0,2585
0,7397;0,3759;0,1958;0,235;0,2627
0,5353;0,4716;0,1541;0,2573;0,2952
0,4494;0,2764;0,1006;0,2453;0,3256
0,4131;0,2621;0,1688;0,2484;0,3197
0,4253;0,3047;0,1974;0,317;0,2396
0,6159;0,2498;0,1622;0,2957;0,3776
0,774;0,4163;0,2188;0,2425;0,2265
0,7769;0,2969;0,138;0,1397;0,2136
0,7622;0,3244;0,1199;0,2867;0,2911
0,5406;0,3535;0,197;0,2419;0,2273
0,6482;0,5319;0,2478;0,2335;
0,7366;0,5813;0,2286;0,1372;
0,6247;0,3698;0,3225;0,1746;
0,4861;0,4716;0,1635;0,1992;
0,5604;0,4106;0,1763;0,1613;
0,5615;0,575;0,1476;;
0,5316;0,4139;0,2022;;
0,5607;0,2848;0,1759;;
0,4233;0,3301;0,2421;;
0,7471;0,4723;0,2177;;
0,7404;0,2281;0,2039;;
0,6773;0,4148;0,1382;;
0,6152;0,236;0,2689;;
0,664;0,2381;0,2267;;
0,6572;0,3554;0,2789;;
0,7144;0,3648;0,1559;;
0,6095;0,4632;0,2134;;
0,7419;0,2989;0,2375;;
0,6899;0,1983;0,2571;;
0,5974;0,2495;0,2956;;
0,6741;0,2543;0,0952;;
0,4451;0,3624;0,0709;;
0,7182;0,4465;0,1421;;
0,682;0,5571;0,1532;;
0,5221;0,4258;0,1641;;
0,7108;0,3293;0,2193;;
0,7797;0,2769;0,2182;;
0,7754;0,3941;0,1718;;
0,7499;;0,2423;;
;;0,3785;;
;;0,1617;;
;;0,2519;;
;;0,24;;
;;0,1936;;
;;0,2218;;
;;0,2258;;
;;0,2127;;
;;0,283;;
;;0,2952;;